Longitude	Latitude	Potential Vorticity Q [10~^-~^1~^2 m~^-~^1 s~^-~^1] @ Depth [m]=first
-52.500000	-75.500000	128.56629
-51.500000	-75.500000	81.44854
-50.500000	-75.500000	40.23438
-49.500000	-75.500000	34.98709
-48.500000	-75.500000	53.34607
-47.500000	-75.500000	48.39927
-46.500000	-75.500000	38.86304
-45.500000	-75.500000	139.01181
-44.500000	-75.500000	338.67449
-43.500000	-75.500000	488.80317
-42.500000	-75.500000	585.20189
-41.500000	-75.500000	664.37970
-40.500000	-75.500000	748.43536
-39.500000	-75.500000	848.71053
-38.500000	-75.500000	896.69537
-37.500000	-75.500000	1013.60976
-36.500000	-75.500000	1092.67871
-35.500000	-75.500000	1159.00778
-34.500000	-75.500000	1164.27110
-33.500000	-75.500000	1226.37629
-32.500000	-75.500000	1240.16695
-31.500000	-75.500000	1388.18167
-30.500000	-75.500000	1656.67151
-29.500000	-75.500000	1798.74744
-28.500000	-75.500000	1882.12084
-27.500000	-75.500000	2074.00395
166.500000	-74.500000	174.39293
167.500000	-74.500000	138.50218
168.500000	-74.500000	122.11536
169.500000	-74.500000	100.08156
170.500000	-74.500000	147.06466
171.500000	-74.500000	164.26733
172.500000	-74.500000	159.75733
173.500000	-74.500000	140.15656
-185.500000	-74.500000	137.09165
-184.500000	-74.500000	136.95438
-183.500000	-74.500000	144.71735
-182.500000	-74.500000	163.26094
-181.500000	-74.500000	171.53089
-180.500000	-74.500000	192.93671
-179.500000	-74.500000	206.83269
-178.500000	-74.500000	208.79080
-177.500000	-74.500000	210.37679
-176.500000	-74.500000	210.17461
-175.500000	-74.500000	201.60837
-174.500000	-74.500000	191.46483
-173.500000	-74.500000	171.82154
-172.500000	-74.500000	150.12452
-171.500000	-74.500000	131.30340
-170.500000	-74.500000	115.06616
-169.500000	-74.500000	98.59605
-168.500000	-74.500000	87.00999
-167.500000	-74.500000	81.26994
-166.500000	-74.500000	74.36285
-165.500000	-74.500000	69.23385
-164.500000	-74.500000	69.67378
-163.500000	-74.500000	72.82344
-162.500000	-74.500000	77.60393
-161.500000	-74.500000	81.09300
-160.500000	-74.500000	89.30683
-159.500000	-74.500000	101.67203
-158.500000	-74.500000	125.17158
-157.500000	-74.500000	146.98090
